ID,N,MaxSum,Time
0,10,40,0.000612
1,10,5,0.000252
2,10,10,0.000269
3,10,3,0.000260
4,10,16,0.000255
5,10,7,0.000299
6,10,3,0.000272
7,10,3,0.000315
8,10,3,0.000305
9,10,10,0.000166
0,100,4206,0.002379
1,100,3757,0.002442
2,100,3480,0.000646
3,100,4120,0.002464
4,100,4072,0.002554
5,100,4168,0.002258
6,100,3505,0.001844
7,100,4447,0.002530
8,100,4109,0.002569
9,100,3708,0.002481
0,1000,38555,0.247779
1,1000,37876,0.242901
2,1000,39753,0.246921
3,1000,38215,0.237957
4,1000,39994,0.242414
5,1000,38650,0.242211
6,1000,38574,0.236979
7,1000,38328,0.247375
8,1000,38441,0.241399
9,1000,37439,0.242664
0,10000,354385,505.068882
1,10000,350411,517.631050
2,10000,351039,500.136076
3,10000,355316,498.118016
4,10000,362547,498.319694
5,10000,351130,496.644164
6,10000,352590,495.647672
7,10000,353046,494.453280
8,10000,354753,493.374863
9,10000,352719,490.744179
